,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate,dic_rounded,media_tri,media_bin,total
103,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
104,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
105,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
106,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
107,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
108,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
109,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
110,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
111,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
112,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
113,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
114,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
115,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
116,"RT @Thomananas: Pouah mais elle propose rien , elle nfait qu'aboyer , sa seule tactique c'est d'être agressive , elle ne cherche même ps le dé… ",2,2,1,1,0,1,,,0,2,1,Neu
117,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
118,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
119,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
120,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
121,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
122,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
123,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
124,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
125,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
126,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
127,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
128,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
129,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
130,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
131,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
132,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
133,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
134,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
135,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
136,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
137,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
138,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
139,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
140,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
141,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
142,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
143,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
144,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
145,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
146,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
147,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
148,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
149,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
150,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
151,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
152,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
153,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
154,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
155,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
156,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
157,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
158,"RT @Maririek14: Lepen la grande illusionniste .. aucun programme . ,elle n'a rien dit sauf un tissu de mensonge et de haine #2017LeDébat #ma… ",2,2,2,0,0,0,,,0,2,0,0
159,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
160,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
161,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
162,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
163,"RT @Harouban: ""-Pk tu men
-Je men pa
-Mé si
-Mé non
-Tg jé réson
-Mé non""
............
#2017LeDebat ",2,2,2,0,0,0,,,1,2,0,Neu
164,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,1,2,1,1,0,1,,,Nan,1,1,1
165,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
166,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
167,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
168,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
169,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
170,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
171,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
172,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
173,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
174,"#2017leDébat l'ogre observait le Petit poucet : 
- Je vais te maaangeer !  ",2,2,2,0,0,0,,,Nan,2,0,Neu
175,RT @KevinFavrel: Le débat ce soir. #2017LeDebat ,2,2,2,1,0,0,,,Nan,2,0,Neu
176,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,2,2,1,0,0,1,,,Nan,2,0,Neu
