,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
97,RT @HJSfr: #Presidentielle2017 #Avoté #2017LeDebat #Tulle #Votons #Censure #HenonBeaumont #ToutSaufMacron #JeVoteMarine #FacebookGate #Macr… ,Nan,2,2,2,0,0,1
98,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
99,"RT @MardiMondain: Qui soutenez-vous pour le 2nd tour? 🇫🇷
Lançons le GRAND sondage citoyen!
1•Votez 
2•Retweetez 
#2017LeDebat   
#ElectionP… ",0,2,2,2,0,0,0
100,RT @Sylvqin: Le mec est furtif ! Qui l'a vu ? #2017LeDébat ,0,2,2,2,0,0,0
101,RT @tristanbelotti: Putain ... j'aime internet 😂 #2017LeDebat ,Nan,0,2,1,0,1,1
102,#Presidentielle2017 #Avoté #2017LeDebat #Tulle #Votons #Censure #HenonBeaumont #ToutSaufMacron #JeVoteMarine… ,Nan,2,2,2,0,0,1
103,"@Chevalfou2 @TheJeremi8 @laurentbaheux @Pierre_FN_ @greenpeacefr MLP faisait pitié pdt #2017LeDebat , était ridicule…  ",0,2,2,2,0,1,0
104,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
105,"RT @EmmanuelMacron: 80% des médicaments sont faits à l'étranger. Comme avec vous , on va taxer les importations , le prix des médicaments aug… ",1,2,2,2,0,1,0
106,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
107,RT @MarianneleMag: [VIDEO] Retraite à 60 ans dès 2017 : découvrez le nouveau retournement de veste de Marine Le Pen ! #2017LeDebat ,1,2,2,2,0,1,0
108,"RT @cdion: RIP l'écologie (climat , extinction des espèces , déforestation , pollution de l'air , ressources naturelles...) Rien d'important !#… ",0,0,2,0,1,1,0
109,RT @EmmanuelMacron: Vous allez creuser le déficit ou la dette et c'est nos enfants qui payeront. Je ne veux aucune de ces solutions. #2017L… ,0,2,2,2,1,1,1
