,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
92,"RT @Aiesha_Bonneau: Apres le ""bashing"" d'hier soir , le peuple répond. #2017LeDebat  ",2,2,2,1,0,0,Nan,2,0,Neu
93,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
94,"RT @nlt56lorient: Le Pen menteuse , ignorante , malhonnête face à Macron subtil , responsable , réaliste #2017LeDebat #JeVoteMacron #lependegage ",2,2,2,0,0,1,Nan,2,0,Neu
95,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",2,2,2,0,0,0,1,2,0,-
96,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
97,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
98,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
99,"Apres le ""bashing"" d'hier soir , le peuple répond. #2017LeDebat  ",2,2,2,1,0,0,Nan,2,0,Neu
100,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
101,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
102,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
103,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
104,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
